opcode         name                      target                              args                                                                          kwargs
-------------  ------------------------  ----------------------------------  ----------------------------------------------------------------------------  -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
placeholder    arg0_1                    arg0_1                              ()                                                                            {}
placeholder    arg1_1                    arg1_1                              ()                                                                            {}
placeholder    arg2_1                    arg2_1                              ()                                                                            {}
placeholder    arg3_1                    arg3_1                              ()                                                                            {}
placeholder    arg4_1                    arg4_1                              ()                                                                            {}
placeholder    arg5_1                    arg5_1                              ()                                                                            {}
placeholder    arg6_1                    arg6_1                              ()                                                                            {}
placeholder    arg7_1                    arg7_1                              ()                                                                            {}
placeholder    arg8_1                    arg8_1                              ()                                                                            {}
placeholder    arg9_1                    arg9_1                              ()                                                                            {}
placeholder    arg10_1                   arg10_1                             ()                                                                            {}
placeholder    arg11_1                   arg11_1                             ()                                                                            {}
placeholder    arg12_1                   arg12_1                             ()                                                                            {}
placeholder    arg13_1                   arg13_1                             ()                                                                            {}
placeholder    arg14_1                   arg14_1                             ()                                                                            {}
placeholder    arg15_1                   arg15_1                             ()                                                                            {}
placeholder    arg16_1                   arg16_1                             ()                                                                            {}
placeholder    arg17_1                   arg17_1                             ()                                                                            {}
placeholder    arg18_1                   arg18_1                             ()                                                                            {}
placeholder    arg19_1                   arg19_1                             ()                                                                            {}
placeholder    arg20_1                   arg20_1                             ()                                                                            {}
placeholder    arg21_1                   arg21_1                             ()                                                                            {}
placeholder    arg22_1                   arg22_1                             ()                                                                            {}
placeholder    arg23_1                   arg23_1                             ()                                                                            {}
placeholder    arg24_1                   arg24_1                             ()                                                                            {}
placeholder    arg25_1                   arg25_1                             ()                                                                            {}
placeholder    arg26_1                   arg26_1                             ()                                                                            {}
placeholder    arg27_1                   arg27_1                             ()                                                                            {}
placeholder    arg28_1                   arg28_1                             ()                                                                            {}
placeholder    arg29_1                   arg29_1                             ()                                                                            {}
placeholder    arg30_1                   arg30_1                             ()                                                                            {}
placeholder    arg31_1                   arg31_1                             ()                                                                            {}
placeholder    arg32_1                   arg32_1                             ()                                                                            {}
placeholder    arg33_1                   arg33_1                             ()                                                                            {}
placeholder    arg34_1                   arg34_1                             ()                                                                            {}
placeholder    arg35_1                   arg35_1                             ()                                                                            {}
placeholder    arg36_1                   arg36_1                             ()                                                                            {}
placeholder    arg37_1                   arg37_1                             ()                                                                            {}
placeholder    arg38_1                   arg38_1                             ()                                                                            {}
placeholder    arg39_1                   arg39_1                             ()                                                                            {}
placeholder    arg40_1                   arg40_1                             ()                                                                            {}
placeholder    arg41_1                   arg41_1                             ()                                                                            {}
placeholder    arg42_1                   arg42_1                             ()                                                                            {}
placeholder    arg43_1                   arg43_1                             ()                                                                            {}
placeholder    arg44_1                   arg44_1                             ()                                                                            {}
placeholder    arg45_1                   arg45_1                             ()                                                                            {}
placeholder    arg46_1                   arg46_1                             ()                                                                            {}
placeholder    arg47_1                   arg47_1                             ()                                                                            {}
placeholder    arg48_1                   arg48_1                             ()                                                                            {}
placeholder    arg49_1                   arg49_1                             ()                                                                            {}
placeholder    arg50_1                   arg50_1                             ()                                                                            {}
placeholder    arg51_1                   arg51_1                             ()                                                                            {}
placeholder    arg52_1                   arg52_1                             ()                                                                            {}
placeholder    arg53_1                   arg53_1                             ()                                                                            {}
placeholder    arg54_1                   arg54_1                             ()                                                                            {}
placeholder    arg55_1                   arg55_1                             ()                                                                            {}
placeholder    arg56_1                   arg56_1                             ()                                                                            {}
placeholder    arg57_1                   arg57_1                             ()                                                                            {}
placeholder    arg58_1                   arg58_1                             ()                                                                            {}
placeholder    arg59_1                   arg59_1                             ()                                                                            {}
placeholder    arg60_1                   arg60_1                             ()                                                                            {}
placeholder    arg61_1                   arg61_1                             ()                                                                            {}
placeholder    arg62_1                   arg62_1                             ()                                                                            {}
placeholder    arg63_1                   arg63_1                             ()                                                                            {}
placeholder    arg64_1                   arg64_1                             ()                                                                            {}
placeholder    arg65_1                   arg65_1                             ()                                                                            {}
placeholder    arg66_1                   arg66_1                             ()                                                                            {}
placeholder    arg67_1                   arg67_1                             ()                                                                            {}
placeholder    arg68_1                   arg68_1                             ()                                                                            {}
placeholder    arg69_1                   arg69_1                             ()                                                                            {}
placeholder    arg70_1                   arg70_1                             ()                                                                            {}
placeholder    arg71_1                   arg71_1                             ()                                                                            {}
placeholder    arg72_1                   arg72_1                             ()                                                                            {}
placeholder    arg73_1                   arg73_1                             ()                                                                            {}
placeholder    arg74_1                   arg74_1                             ()                                                                            {}
placeholder    arg75_1                   arg75_1                             ()                                                                            {}
placeholder    arg76_1                   arg76_1                             ()                                                                            {}
placeholder    arg77_1                   arg77_1                             ()                                                                            {}
placeholder    arg78_1                   arg78_1                             ()                                                                            {}
placeholder    arg79_1                   arg79_1                             ()                                                                            {}
placeholder    arg80_1                   arg80_1                             ()                                                                            {}
placeholder    arg81_1                   arg81_1                             ()                                                                            {}
placeholder    arg82_1                   arg82_1                             ()                                                                            {}
placeholder    arg83_1                   arg83_1                             ()                                                                            {}
placeholder    arg84_1                   arg84_1                             ()                                                                            {}
placeholder    arg85_1                   arg85_1                             ()                                                                            {}
placeholder    arg86_1                   arg86_1                             ()                                                                            {}
placeholder    arg87_1                   arg87_1                             ()                                                                            {}
placeholder    arg88_1                   arg88_1                             ()                                                                            {}
placeholder    arg89_1                   arg89_1                             ()                                                                            {}
placeholder    arg90_1                   arg90_1                             ()                                                                            {}
placeholder    arg91_1                   arg91_1                             ()                                                                            {}
placeholder    arg92_1                   arg92_1                             ()                                                                            {}
placeholder    arg93_1                   arg93_1                             ()                                                                            {}
placeholder    arg94_1                   arg94_1                             ()                                                                            {}
placeholder    arg95_1                   arg95_1                             ()                                                                            {}
placeholder    arg96_1                   arg96_1                             ()                                                                            {}
placeholder    arg97_1                   arg97_1                             ()                                                                            {}
placeholder    arg98_1                   arg98_1                             ()                                                                            {}
placeholder    arg99_1                   arg99_1                             ()                                                                            {}
placeholder    arg100_1                  arg100_1                            ()                                                                            {}
placeholder    arg101_1                  arg101_1                            ()                                                                            {}
placeholder    arg102_1                  arg102_1                            ()                                                                            {}
placeholder    arg103_1                  arg103_1                            ()                                                                            {}
placeholder    arg104_1                  arg104_1                            ()                                                                            {}
placeholder    arg105_1                  arg105_1                            ()                                                                            {}
placeholder    arg106_1                  arg106_1                            ()                                                                            {}
placeholder    arg107_1                  arg107_1                            ()                                                                            {}
placeholder    arg108_1                  arg108_1                            ()                                                                            {}
placeholder    arg109_1                  arg109_1                            ()                                                                            {}
placeholder    arg110_1                  arg110_1                            ()                                                                            {}
placeholder    arg111_1                  arg111_1                            ()                                                                            {}
placeholder    arg112_1                  arg112_1                            ()                                                                            {}
placeholder    arg113_1                  arg113_1                            ()                                                                            {}
placeholder    arg114_1                  arg114_1                            ()                                                                            {}
placeholder    arg115_1                  arg115_1                            ()                                                                            {}
placeholder    arg116_1                  arg116_1                            ()                                                                            {}
placeholder    arg117_1                  arg117_1                            ()                                                                            {}
placeholder    arg118_1                  arg118_1                            ()                                                                            {}
placeholder    arg119_1                  arg119_1                            ()                                                                            {}
placeholder    arg120_1                  arg120_1                            ()                                                                            {}
placeholder    arg121_1                  arg121_1                            ()                                                                            {}
placeholder    arg122_1                  arg122_1                            ()                                                                            {}
placeholder    arg123_1                  arg123_1                            ()                                                                            {}
placeholder    arg124_1                  arg124_1                            ()                                                                            {}
placeholder    arg125_1                  arg125_1                            ()                                                                            {}
placeholder    arg126_1                  arg126_1                            ()                                                                            {}
placeholder    arg127_1                  arg127_1                            ()                                                                            {}
placeholder    arg128_1                  arg128_1                            ()                                                                            {}
placeholder    arg129_1                  arg129_1                            ()                                                                            {}
placeholder    arg130_1                  arg130_1                            ()                                                                            {}
placeholder    arg131_1                  arg131_1                            ()                                                                            {}
placeholder    arg132_1                  arg132_1                            ()                                                                            {}
placeholder    arg133_1                  arg133_1                            ()                                                                            {}
placeholder    arg134_1                  arg134_1                            ()                                                                            {}
placeholder    arg135_1                  arg135_1                            ()                                                                            {}
placeholder    arg136_1                  arg136_1                            ()                                                                            {}
placeholder    arg137_1                  arg137_1                            ()                                                                            {}
placeholder    arg138_1                  arg138_1                            ()                                                                            {}
placeholder    arg139_1                  arg139_1                            ()                                                                            {}
placeholder    arg140_1                  arg140_1                            ()                                                                            {}
placeholder    arg141_1                  arg141_1                            ()                                                                            {}
placeholder    arg142_1                  arg142_1                            ()                                                                            {}
placeholder    arg143_1                  arg143_1                            ()                                                                            {}
placeholder    arg144_1                  arg144_1                            ()                                                                            {}
placeholder    arg145_1                  arg145_1                            ()                                                                            {}
placeholder    arg146_1                  arg146_1                            ()                                                                            {}
placeholder    arg147_1                  arg147_1                            ()                                                                            {}
placeholder    arg148_1                  arg148_1                            ()                                                                            {}
placeholder    arg149_1                  arg149_1                            ()                                                                            {}
placeholder    arg150_1                  arg150_1                            ()                                                                            {}
call_function  convert_element_type      prims.convert_element_type.default  (arg0_1, torch.int64)                                                         {}
call_function  embedding                 aten.embedding.default              (arg2_1, convert_element_type)                                                {}
call_function  add_5                     aten.add.Tensor                     (arg3_1, 2)                                                                   {}
call_function  embedding_1               aten.embedding.default              (arg4_1, add_5)                                                               {}
call_function  add_11                    aten.add.Tensor                     (embedding, embedding_1)                                                      {}
call_function  convert_element_type_1    prims.convert_element_type.default  (add_11, torch.float32)                                                       {}
call_function  var_mean                  aten.var_mean.correction            (convert_element_type_1, [1])                                                 {'correction': 0, 'keepdim': True}
call_function  getitem                   <built-in function getitem>         (var_mean, 0)                                                                 {}
call_function  getitem_1                 <built-in function getitem>         (var_mean, 1)                                                                 {}
call_function  sub_5                     aten.sub.Tensor                     (convert_element_type_1, getitem_1)                                           {}
call_function  add_15                    aten.add.Tensor                     (getitem, 1e-05)                                                              {}
call_function  rsqrt                     aten.rsqrt.default                  (add_15,)                                                                     {}
call_function  mul_9                     aten.mul.Tensor                     (sub_5, rsqrt)                                                                {}
call_function  mul_10                    aten.mul.Tensor                     (mul_9, arg5_1)                                                               {}
call_function  add_16                    aten.add.Tensor                     (mul_10, arg6_1)                                                              {}
call_function  convert_element_type_2    prims.convert_element_type.default  (add_16, torch.float16)                                                       {}
call_function  permute                   aten.permute.default                (arg7_1, [1, 0])                                                              {}
call_function  addmm                     aten.addmm.default                  (arg8_1, convert_element_type_2, permute)                                     {}
call_function  split                     aten.split.Tensor                   (addmm, 768, -1)                                                              {}
call_function  getitem_2                 <built-in function getitem>         (split, 0)                                                                    {}
call_function  getitem_3                 <built-in function getitem>         (split, 1)                                                                    {}
call_function  getitem_4                 <built-in function getitem>         (split, 2)                                                                    {}
call_function  full                      aten.full.default                   ([arg1_1, 768], 0)                                                            {'dtype': torch.float16, 'layout': torch.strided, 'device': device(type='cuda', index=0), 'pin_memory': False}
call_function  view                      aten.reshape.default                (getitem_2, [-1, 12, 64])                                                     {}
call_function  view_2                    aten.reshape.default                (getitem_3, [-1, 12, 64])                                                     {}
call_function  view_3                    aten.reshape.default                (getitem_4, [-1, 12, 64])                                                     {}
call_function  full_default              aten.full.default                   ([arg1_1, 12, 64], 0.0)                                                       {'dtype': torch.float16, 'layout': torch.strided, 'device': device(type='cuda', index=0), 'pin_memory': False}
call_function  auto_functionalized       auto_functionalized                 (<OpOverload(op='vllm.unified_attention_with_output', overload='default')>,)  {'query': view, 'key': view_2, 'value': view_3, 'output': full_default, 'layer_name': 'model.decoder.layers.0.self_attn.attn', 'output_scale': None, 'output_block_scale': None}
call_function  getitem_6                 <built-in function getitem>         (auto_functionalized, 1)                                                      {}
call_function  capture_mean_default      whitebox.capture_mean.default       (getitem_6, 'model.decoder.layers.0.self_attn.attn')                          {}
call_function  view_4                    aten.reshape.default                (capture_mean_default, [arg1_1, 768])                                         {}
call_function  permute_1                 aten.permute.default                (arg9_1, [1, 0])                                                              {}
call_function  mm_default_35             aten.mm.default                     (view_4, permute_1)                                                           {}
call_function  add_tensor_35             aten.add.Tensor                     (mm_default_35, arg10_1)                                                      {}
call_function  add_63                    aten.add.Tensor                     (add_11, add_tensor_35)                                                       {}
call_function  convert_element_type_9    prims.convert_element_type.default  (add_63, torch.float32)                                                       {}
call_function  var_mean_1                aten.var_mean.correction            (convert_element_type_9, [1])                                                 {'correction': 0, 'keepdim': True}
call_function  getitem_8                 <built-in function getitem>         (var_mean_1, 0)                                                               {}
call_function  getitem_9                 <built-in function getitem>         (var_mean_1, 1)                                                               {}
call_function  sub_21                    aten.sub.Tensor                     (convert_element_type_9, getitem_9)                                           {}
call_function  add_67                    aten.add.Tensor                     (getitem_8, 1e-05)                                                            {}
call_function  rsqrt_1                   aten.rsqrt.default                  (add_67,)                                                                     {}
call_function  mul_40                    aten.mul.Tensor                     (sub_21, rsqrt_1)                                                             {}
call_function  mul_41                    aten.mul.Tensor                     (mul_40, arg11_1)                                                             {}
call_function  add_68                    aten.add.Tensor                     (mul_41, arg12_1)                                                             {}
call_function  convert_element_type_10   prims.convert_element_type.default  (add_68, torch.float16)                                                       {}
call_function  permute_2                 aten.permute.default                (arg13_1, [1, 0])                                                             {}
call_function  mm_default_34             aten.mm.default                     (convert_element_type_10, permute_2)                                          {}
call_function  add_tensor_34             aten.add.Tensor                     (mm_default_34, arg14_1)                                                      {}
call_function  relu                      aten.relu.default                   (add_tensor_34,)                                                              {}
call_function  permute_3                 aten.permute.default                (arg15_1, [1, 0])                                                             {}
call_function  mm_default_33             aten.mm.default                     (relu, permute_3)                                                             {}
call_function  add_tensor_33             aten.add.Tensor                     (mm_default_33, arg16_1)                                                      {}
call_function  add_87                    aten.add.Tensor                     (add_63, add_tensor_33)                                                       {}
call_function  convert_element_type_17   prims.convert_element_type.default  (add_87, torch.float32)                                                       {}
call_function  var_mean_2                aten.var_mean.correction            (convert_element_type_17, [1])                                                {'correction': 0, 'keepdim': True}
call_function  getitem_10                <built-in function getitem>         (var_mean_2, 0)                                                               {}
call_function  getitem_11                <built-in function getitem>         (var_mean_2, 1)                                                               {}
call_function  sub_29                    aten.sub.Tensor                     (convert_element_type_17, getitem_11)                                         {}
call_function  add_91                    aten.add.Tensor                     (getitem_10, 1e-05)                                                           {}
call_function  rsqrt_2                   aten.rsqrt.default                  (add_91,)                                                                     {}
call_function  mul_55                    aten.mul.Tensor                     (sub_29, rsqrt_2)                                                             {}
call_function  mul_56                    aten.mul.Tensor                     (mul_55, arg17_1)                                                             {}
call_function  add_92                    aten.add.Tensor                     (mul_56, arg18_1)                                                             {}
call_function  convert_element_type_18   prims.convert_element_type.default  (add_92, torch.float16)                                                       {}
call_function  permute_4                 aten.permute.default                (arg19_1, [1, 0])                                                             {}
call_function  addmm_4                   aten.addmm.default                  (arg20_1, convert_element_type_18, permute_4)                                 {}
call_function  split_1                   aten.split.Tensor                   (addmm_4, 768, -1)                                                            {}
call_function  getitem_12                <built-in function getitem>         (split_1, 0)                                                                  {}
call_function  getitem_13                <built-in function getitem>         (split_1, 1)                                                                  {}
call_function  getitem_14                <built-in function getitem>         (split_1, 2)                                                                  {}
call_function  full_1                    aten.full.default                   ([arg1_1, 768], 0)                                                            {'dtype': torch.float16, 'layout': torch.strided, 'device': device(type='cuda', index=0), 'pin_memory': False}
call_function  view_9                    aten.reshape.default                (getitem_12, [-1, 12, 64])                                                    {}
call_function  view_11                   aten.reshape.default                (getitem_13, [-1, 12, 64])                                                    {}
call_function  view_12                   aten.reshape.default                (getitem_14, [-1, 12, 64])                                                    {}
call_function  full_default_1            aten.full.default                   ([arg1_1, 12, 64], 0.0)                                                       {'dtype': torch.float16, 'layout': torch.strided, 'device': device(type='cuda', index=0), 'pin_memory': False}
call_function  auto_functionalized_1     auto_functionalized                 (<OpOverload(op='vllm.unified_attention_with_output', overload='default')>,)  {'query': view_9, 'key': view_11, 'value': view_12, 'output': full_default_1, 'layer_name': 'model.decoder.layers.1.self_attn.attn', 'output_scale': None, 'output_block_scale': None}
call_function  getitem_16                <built-in function getitem>         (auto_functionalized_1, 1)                                                    {}
call_function  capture_mean_default_1    whitebox.capture_mean.default       (getitem_16, 'model.decoder.layers.1.self_attn.attn')                         {}
call_function  view_13                   aten.reshape.default                (capture_mean_default_1, [arg1_1, 768])                                       {}
call_function  permute_5                 aten.permute.default                (arg21_1, [1, 0])                                                             {}
call_function  mm_default_32             aten.mm.default                     (view_13, permute_5)                                                          {}
call_function  add_tensor_32             aten.add.Tensor                     (mm_default_32, arg22_1)                                                      {}
call_function  add_139                   aten.add.Tensor                     (add_87, add_tensor_32)                                                       {}
call_function  convert_element_type_25   prims.convert_element_type.default  (add_139, torch.float32)                                                      {}
call_function  var_mean_3                aten.var_mean.correction            (convert_element_type_25, [1])                                                {'correction': 0, 'keepdim': True}
call_function  getitem_18                <built-in function getitem>         (var_mean_3, 0)                                                               {}
call_function  getitem_19                <built-in function getitem>         (var_mean_3, 1)                                                               {}
call_function  sub_45                    aten.sub.Tensor                     (convert_element_type_25, getitem_19)                                         {}
call_function  add_143                   aten.add.Tensor                     (getitem_18, 1e-05)                                                           {}
call_function  rsqrt_3                   aten.rsqrt.default                  (add_143,)                                                                    {}
call_function  mul_86                    aten.mul.Tensor                     (sub_45, rsqrt_3)                                                             {}
call_function  mul_87                    aten.mul.Tensor                     (mul_86, arg23_1)                                                             {}
call_function  add_144                   aten.add.Tensor                     (mul_87, arg24_1)                                                             {}
call_function  convert_element_type_26   prims.convert_element_type.default  (add_144, torch.float16)                                                      {}
call_function  permute_6                 aten.permute.default                (arg25_1, [1, 0])                                                             {}
call_function  mm_default_31             aten.mm.default                     (convert_element_type_26, permute_6)                                          {}
call_function  add_tensor_31             aten.add.Tensor                     (mm_default_31, arg26_1)                                                      {}
call_function  relu_1                    aten.relu.default                   (add_tensor_31,)                                                              {}
call_function  permute_7                 aten.permute.default                (arg27_1, [1, 0])                                                             {}
call_function  mm_default_30             aten.mm.default                     (relu_1, permute_7)                                                           {}
call_function  add_tensor_30             aten.add.Tensor                     (mm_default_30, arg28_1)                                                      {}
call_function  add_163                   aten.add.Tensor                     (add_139, add_tensor_30)                                                      {}
call_function  convert_element_type_33   prims.convert_element_type.default  (add_163, torch.float32)                                                      {}
call_function  var_mean_4                aten.var_mean.correction            (convert_element_type_33, [1])                                                {'correction': 0, 'keepdim': True}
call_function  getitem_20                <built-in function getitem>         (var_mean_4, 0)                                                               {}
call_function  getitem_21                <built-in function getitem>         (var_mean_4, 1)                                                               {}
call_function  sub_53                    aten.sub.Tensor                     (convert_element_type_33, getitem_21)                                         {}
